code;name;national_federation
ARM;Armenia;
AUS;Australia;
AUT;Austria;
BEL;Belgium;
BFA;Burkina Faso;
BIH;Bosnia and Herzegovina;
BLR;Belarus;
BRA;Brazil;
BUL;Bulgaria;
CRO;Croatia;
CUB;Cuba;
CZE;Czechia;
EGY;Egypt;
EST;Estonia;
FIN;Finland;
FRA;France;
GBR;Great Britain;
GEO;Georgia;
GER;Germany;
HKG;Hong Kong;
HUN;Hungary;
IND;India;
IRL;Ireland;
IRQ;Iraq;
ITA;Italy;
JPN;Japan;
KAZ;Kazakhstan;
KGZ;Kyrgyzstan;
KOR;South Korea;
LAT;Latvia;
LBN;Lebanon;
MGL;Mongolia;
NED;Netherlands;
NZL;New Zealand;
POL;Poland;
POR;Portugal;
RUS;Russia;
SLO;Slovenia;
SRB;Serbia;
SUI;Switzerland;
SVK;Slovakia;
SWE;Sweden;
TJK;Tajikistan;
TKM;Turkmenistan;
TPE;Chinese Taipei;
TUR;Turkey;
UKR;Ukraine;
USA;United States of America;
UZB;Uzbekistan;
